id,a1.engine.x1,a1.engine.base_minutes,a1.tp_max_pct,return_pct,trades,win_rate,profit_factor,max_dd_pct,avg_hold_h,trims
18,4,240,5,3.02,211,67.8,1.55,3.22,1.8,133
17,4,240,3,2.84,207,68.1,1.54,3.23,1.8,245
21,9,240,3,2.67,213,70,1.38,4.35,1.7,285
22,9,240,5,1.61,219,68.9,1.29,4.37,1.7,138
15,4,120,3,-1.85,350,61.4,1.03,3.91,1,278
16,4,120,5,-1.9,363,60.3,1.04,3.88,1,119
19,9,120,3,-2.97,354,63.6,0.99,5.19,1,290
20,9,120,5,-3.51,367,63.5,0.96,5.53,0.9,116
