id,a1.engine.x1,a1.engine.base_minutes,a1.tp_max_pct,return_pct,trades,win_rate,profit_factor,max_dd_pct,avg_hold_h,trims
38,9,240,5,9.95,220,77.7,1.86,3.91,1.6,152
34,4,240,5,8.35,214,74.8,2.15,2.29,1.7,142
33,4,240,3,7.57,203,73.9,2.08,2.19,1.9,310
37,9,240,3,6.85,206,76.2,1.62,4.86,1.8,338
36,9,120,5,1.59,367,71.9,1.3,3.38,0.9,126
32,4,120,5,0.37,361,68.1,1.23,2.77,1,135
31,4,120,3,-0.42,334,65.3,1.15,2.97,1.1,331
35,9,120,3,-0.64,345,69.9,1.14,4.34,1.1,347
