id,a1.engine.x1,a1.engine.base_minutes,a1.tp_max_pct,return_pct,trades,win_rate,profit_factor,max_dd_pct,avg_hold_h,trims
73,4,240,3,-0.02,220,67.3,1.18,3.79,1.6,201
74,4,240,5,-0.19,231,67.1,1.16,3.86,1.4,82
77,9,240,3,-0.96,227,70,1.08,4.28,1.5,196
72,4,120,5,-1.62,399,59.4,1.09,3.6,0.8,84
71,4,120,3,-1.8,378,59.3,1.06,3.63,0.9,227
78,9,240,5,-2.99,234,69.7,0.93,6.4,1.4,75
76,9,120,5,-3.65,402,61.2,0.96,5.67,0.8,83
75,9,120,3,-4.18,388,61.6,0.9,5.81,0.9,224
