id,a1.engine.x1,a1.engine.base_minutes,a1.tp_max_pct,return_pct,trades,win_rate,profit_factor,max_dd_pct,avg_hold_h,trims
10,4,240,5,-1.84,227,68.3,0.96,4.14,1.7,63
14,9,240,5,-1.92,232,71.1,1.01,5.2,1.6,70
9,4,240,3,-3.33,215,67,0.79,4.71,1.8,157
8,4,120,5,-3.7,389,59.4,0.87,5.02,0.9,63
13,9,240,3,-3.76,223,69.5,0.85,5.58,1.7,167
12,9,120,5,-3.79,390,62.6,0.93,5.51,0.9,65
11,9,120,3,-4.08,373,62.2,0.9,5.33,1,176
7,4,120,3,-4.14,369,58.3,0.81,5,1,163
